,query,title,source,excerpt,date
0,semiconductor,Tata group is looking to enter semiconductor manufacturing: Chandrasekaran,Business Standard,"Read more about Tata group is looking to enter semiconductor manufacturing: 
Chandrasekaran on Business-standard. Tata group chairman's ...",7 hours ago
1,semiconductor,"After 5G equipment, Tata Group looking to enter semiconductor manufacturing",Mint,"Mumbai: Tata Group is looking to make a foray into semiconductor 
manufacturing, Chairman N Chandrasekaran said on Monday.",18 hours ago
2,semiconductor,"Taiwan semiconductor firms hungry for workers; wages lag US, Japan",Taipei Times,"Taiwan's semiconductor industry has been aggressively recruiting talent 
this year, with its demand for workers in the second quarter rising ...",1 day ago
3,semiconductor,"Your questions about the global chip shortage, answered",Popular Science,"Semiconductors are an essential part of nearly all electronics. But an 
array of factors has caused them to be in critically short supply.",13 hours ago
4,semiconductor,"Neo Semiconductor Claims It Can Deliver QLC Density, SLC Performance",ExtremeTech,"A new company is claiming it can offer NAND SSDs the speed of SLC and the 
capacity of QLC. ...",6 hours ago
5,semiconductor,These 2 Things Make NVIDIA the Best Semiconductor Stock For the 2020s,The Motley Fool,"Nvidia is trying to acquire leading chip licensor ARM, but has its own 
extensive chip licensing business already established.",2 days ago
6,semiconductor,Taiwan's semiconductor industry hungry for workers: job bank,Focus Taiwan,"Taipei, Aug. 7 (CNA) Taiwan's NT$3 trillion (US$107.9 billion) 
semiconductor industry has been aggressively recruiting talent this 
year, ...",2 days ago
7,semiconductor,China’s biggest foundry founder founds another foundry,South China Morning Post,"Richard Chang, the father of China's foundry industry, is back with a new 
fab in Qingdao – a timely move given the surging demand for chips ...",4 days ago
8,semiconductor,The chips are down: Why there's a semiconductor shortage,CNA,"PARIS: A shortage of semiconductors has sent shockwaves through the global 
economy, squeezing supplies of everything from cars to headphones ...",1 week ago
9,semiconductor,"Goldman Sachs: Buy these semiconductor stocks as electric vehicle demand 
heats up",CNBC,"Goldman likes says semiconductor stocks are set to benefit from a sharp 
increase in demand for electric vehicle components.",3 days ago
10,microchip,"Microchip Technology Inc. stock outperforms competitors despite losses on 
the day",MarketWatch,"Shares of Microchip Technology Inc. MCHP, -0.15% slid 0.15% to $149.50 
Monday, on what proved to be an all-around grim trading session for ...",7 hours ago
11,microchip,Microchip Enables Ultra Precise Timing for 5G Systems,EE Times Asia,"Microchip's new single-chip multichannel IC significantly reduces network 
equipment time error to meet the most stringent 5G requirements.",1 hour ago
12,microchip,The future of the microchip shortage is still unclear,NBC26,"GREEN BAY (NBC 26) — From cars to computers to toothbrushes, microchips are 
found just about everywhere, and the COVID-19 pandemic has ...",23 hours ago
13,microchip,Microchip Technology Announces Record Financial Results ...,GlobeNewswire,"Microchip Technology Announces Record Financial Results for First Quarter 
of Fiscal Year 2022. August 03, 2021 16:15 ET | Source: Microchip 
Technology Inc.",6 days ago
