,title,source,excerpt,date
0,"After 5G equipment, Tata Group looking to enter semiconductor manufacturing",Mint,"Mumbai: Tata Group is looking to make a foray into semiconductor 
manufacturing, Chairman N Chandrasekaran said on Monday.",7 hours ago
1,"Chinese chip foundry SMIC forges ahead with new Beijing, Shenzhen plants",South China Morning Post,"Semiconductor giant SMIC expects construction of its new chip fabrication 
plants to proceed 'as planned', after the firm posted strong ...",3 days ago
2,"Taiwan semiconductor firms hungry for workers; wages lag US, Japan",Taipei Times,"Taiwan's semiconductor industry has been aggressively recruiting talent 
this year, with its demand for workers in the second quarter rising ...",1 day ago
3,These 2 Things Make NVIDIA the Best Semiconductor Stock For the 2020s,The Motley Fool,"Nvidia is trying to acquire leading chip licensor ARM, but has its own 
extensive chip licensing business already established.",2 days ago
4,Japan seeks new ways to strengthen semiconductor production,NHK.JP,"Japan once led the world in semiconductor production. Back in the 1980s it 
had a 50 percent share of the global market.",3 days ago
5,Taiwan's semiconductor industry hungry for workers: job bank,Focus Taiwan,"Taipei, Aug. 7 (CNA) Taiwan's NT$3 trillion (US$107.9 billion) 
semiconductor industry has been aggressively recruiting talent this 
year, ...",2 days ago
6,"AMD: Advanced Micro Devices vs. Micron Technology: Which Semiconductor 
Stock is a Better Buy?",StockNews,"Advanced Micro Devices Inc.(Nasdaq:AMD): Even amidst a global-wide chip 
shortage, semiconductor stocks are as popular as ever.",3 days ago
7,The chips are down: Why there's a semiconductor shortage,CNA,"PARIS: A shortage of semiconductors has sent shockwaves through the global 
economy, squeezing supplies of everything from cars to headphones ...",1 week ago
8,China’s biggest foundry founder founds another foundry,South China Morning Post,"Richard Chang, the father of China's foundry industry, is back with a new 
fab in Qingdao – a timely move given the surging demand for chips ...",4 days ago
9,"Goldman Sachs: Buy these semiconductor stocks as electric vehicle demand 
heats up",CNBC,"Goldman likes says semiconductor stocks are set to benefit from a sharp 
increase in demand for electric vehicle components.",3 days ago
10,"Your questions about the global chip shortage, answered",Popular Science,"The chips, often called semiconductors, sometimes called microchips, 
function as the brains of our electronics. They're tiny technological ...",3 hours ago
11,QLC at SLC speed: NEO Semiconductor's X-NAND flash ...,Blocks and Files,"NEO Semiconductor has patented X-NAND tech to accelerate SSD writes 
fifteenfold, and shrink die sizes. Two patents were awarded on August 5.",3 days ago
12,Soaring Semiconductor Sales Could Be Super for 'SMH',ETF Trends,"For technology investors in 2021, there's no escaping talk of the global 
semiconductor shortage, but for as onerous as that situation is, ...",2 hours ago
13,Meet The Demand For Semiconductors With These Three ...,Forbes,"Semiconductors are used in the manufacturing of various kinds of electronic 
devices, including diodes, transistors and integrated circuits.",4 days ago
14,New study program for semiconductor industry,Innovation Origins,"In September, a new program will be launched: the Semiconductor Packaging 
University Program. This was the wish of both chip manufacturers ...",3 days ago
15,The Semiconductor Shortage: Implications for the Global ...,DBusiness Magazine,"Many of the recent automotive factory shut downs and reports and inflation 
can be tied to the heavily publicized global chip shortage. // Stock Photo.",1 week ago
16,New semiconductor cools computer chips – Physics World,Physics World,"Most semiconductors (including silicon, germanium, gallium arsenide and 
gallium nitride) and metals have Debye temperatures below 700 K, ...",4 days ago
17,The United States is determined to dominate the ...,East Asia Forum,"The United States is determined to dominate the semiconductor tech war. 6 
August 2021. Author: June Park, George Washington University. The United 
States is ...",3 days ago
18,Foxconn to Buy Semiconductor Manufacturing Facility,The Wall Street Journal,"Foxconn to Buy Semiconductor Manufacturing Facility. The world's largest 
assembler of Apple iPhones says the purchase will help secure a steady ...",4 days ago
19,Guangdong Province plans to phase in local semiconductor ...,Global Times,"South China's Guangdong Province on Monday unveiled a vision for the 
creation of a comprehensive semiconductor industry supply chain as part ...",5 hours ago
20,Applied Materials Launches New Semiconductor Inspection ...,Pharmaceutical Technology,"Concept: US-based semiconductor equipment manufacturer Applied Materials 
launched optical semiconductor wafer inspection machines using AI ...",11 hours ago
21,"Onsemi, formerly ON Semiconductor, now pledges to be net-zero by 2040, CEO 
says",CNBC,"ON Semiconductor, now known as Onsemi, plans to achieve net-zero emissions 
by 2040, president and CEO Hassane El-Khoury told CNBC's Jim Cramer ...",3 days ago
22,"Security concerns over chip shortage are pushing governments to act, 
Moody’s says",CNBC,"More countries are pushing to produce their own semiconductor chips, which 
are in short supply globally, because “it's a matter of national ...",5 days ago
23,BlackRock launches semiconductor ETF,ETF Stream,"BlackRock has expanded its thematic ETF range with the launch of a global 
semiconductor strategy. The iShares MSCI Global Semiconductors UCITS ...",4 days ago
24,Analysts up Inari Amertron TPs after semiconductor maker ...,The Edge Markets,"Last Friday, Inari, which also offers outsourced semiconductor assembly and 
test services, said in a Bursa Malaysia filing that its net ...",12 hours ago
25,Semiconductor Shortage: China's Chipmaking Efforts Falter ...,Bloomberg.com,"The country's attempts to steer its semiconductor industry into ... The 
country doesn't control the semiconductors that are the building ...",2 weeks ago
26,SNPT Supplies Semiconductor Samples 'within 2 days' from 8 weeks,ETNEWS,"SNPT, a small and medium-sized semiconductor packaging company in Korea, 
has commercialized a technology for packaging semiconductors of ...",10 hours ago
27,Now there’s worry the chip shortage will turn into a chip glut,Fortune,"... a shortage in semiconductors—the components vital to controlling ... to 
advance capacity in the domestic semiconductor industry,” says ...",6 days ago
28,Demand for Taiwan's semiconductor industry to stay strong ...,Taiwan News,"According to the updated foundry capacity forecasts for next year by Taiwan 
Semiconductor Manufacturing Corp. (TSMC) and United Microelectronics ...",5 days ago
29,Semiconductor quantum dots: Technological progress and ...,Science,"Semiconductor materials feature optical and electronic properties that can 
be engineered through their composition and crystal structure. The ...",4 days ago
